wall_time,ros_time_sec,camera,camera_topic,frame_id,image_file,class_name,confidence,left,top,right,bottom,center_x,center_y,width,height
2026-06-17_21-51-15-219536,1781725872.9590833,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000010_2026-06-17_21-51-15-219536.jpg,,,,,,,,,,
2026-06-17_21-51-23-453566,1781725881.3380837,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000020_2026-06-17_21-51-23-453566.jpg,,,,,,,,,,
2026-06-17_21-51-31-312043,1781725889.1705048,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000030_2026-06-17_21-51-31-312043.jpg,,,,,,,,,,
2026-06-17_21-51-39-306994,1781725897.0240014,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000040_2026-06-17_21-51-39-306994.jpg,,,,,,,,,,
2026-06-17_21-51-47-157766,1781725904.8795862,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000050_2026-06-17_21-51-47-157766.jpg,,,,,,,,,,
2026-06-17_21-51-54-921992,1781725912.7753925,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000060_2026-06-17_21-51-54-921992.jpg,,,,,,,,,,
2026-06-17_21-52-02-962961,1781725920.853677,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000070_2026-06-17_21-52-02-962961.jpg,,,,,,,,,,
2026-06-17_21-52-10-885958,1781725928.6750562,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000080_2026-06-17_21-52-10-885958.jpg,,,,,,,,,,
2026-06-17_21-52-18-511018,1781725936.3502142,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000090_2026-06-17_21-52-18-511018.jpg,,,,,,,,,,
2026-06-17_21-52-26-327380,1781725944.2023213,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000100_2026-06-17_21-52-26-327380.jpg,,,,,,,,,,
2026-06-17_21-52-34-004426,1781725951.8813012,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000110_2026-06-17_21-52-34-004426.jpg,,,,,,,,,,
2026-06-17_21-52-41-987531,1781725959.9488547,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215106/images/left_frame_000120_2026-06-17_21-52-41-987531.jpg,,,,,,,,,,
